,year,month,three,four
0,1997,01,10,26
1,1997,02,11,26
2,1997,03,14,28
3,1997,04,19,29
4,1997,05,21,32
5,1997,06,23,32
6,1997,07,23,35
7,1997,08,25,37
8,1997,09,20,33
9,1997,10,19,32
10,1997,11,16,31
11,1997,12,12,27
12,1998,01,9,27
13,1998,02,9,27
14,1998,03,12,29
15,1998,04,19,33
16,1998,05,21,33
17,1998,06,22,33
18,1998,07,24,34
19,1998,08,25,35
20,1998,09,24,34
21,1998,10,21,33
22,1998,11,18,30
23,1998,12,14,28
24,1999,01,9,26
25,1999,02,12,28
26,1999,03,12,31
27,1999,04,18,32
28,1999,05,18,32
29,1999,06,25,35
30,1999,07,26,35
31,1999,08,24,36
32,1999,09,23,34
33,1999,10,20,33
34,1999,11,12,29
35,1999,12,5,24
36,2000,01,7,25
37,2000,02,8,25
38,2000,03,19,28
39,2000,04,19,29
40,2000,05,22,33
41,2000,06,22,34
42,2000,07,25,35
43,2000,08,25,35
44,2000,09,24,33
45,2000,10,19,33
46,2000,11,13,28
47,2000,12,11,26
48,2001,01,10,25
49,2001,02,10,27
50,2001,03,14,29
51,2001,04,15,33
52,2001,05,23,33
53,2001,06,24,35
54,2001,07,24,34
55,2001,08,25,35
56,2001,09,25,34
57,2001,10,21,33
58,2001,11,13,30
59,2001,12,8,29
60,2002,01,8,26
61,2002,02,9,26
62,2002,03,14,28
63,2002,04,17,33
64,2002,05,23,34
65,2002,06,24,35
66,2002,07,24,35
67,2002,08,24,35
68,2002,09,23,34
69,2002,10,18,31
70,2002,11,15,29
71,2002,12,6,29
72,2003,01,7,25
73,2003,02,12,27
74,2003,03,10,28
75,2003,04,19,32
76,2003,05,22,33
77,2003,06,24,34
78,2003,07,27,35
79,2003,08,25,35
80,2003,09,23,34
81,2003,10,20,32
82,2003,11,13,33
83,2003,12,10,27
84,2004,01,7,24
85,2004,02,7,26
86,2004,03,13,27
87,2004,04,18,32
88,2004,05,19,33
89,2004,06,25,36
90,2004,07,24,37
91,2004,08,25,36
92,2004,09,24,34
93,2004,10,20,32
94,2004,11,16,29
95,2004,12,7,27
96,2005,01,5,24
97,2005,02,8,26
98,2005,03,9,28
99,2005,04,14,30
100,2005,05,14,32
101,2005,06,19,34
102,2005,07,25,37
103,2005,08,24,34
104,2005,09,24,35
105,2005,10,20,34
106,2005,11,15,31
107,2005,12,10,26
108,2006,01,8,26
109,2006,02,10,26
110,2006,03,9,28
111,2006,04,15,33
112,2006,05,20,33
113,2006,06,23,35
114,2006,07,25,37
115,2006,08,25,34
116,2006,09,20,34
117,2006,10,23,32
118,2006,11,18,31
119,2006,12,12,29
